UNRATE	HOUSE	DURATION	SAVINGS
6,6	1774	14,9	9,1
6,6	1784	14,7	7,9
6,6	1726	14,9	7,9
6,3	1614	14,8	3,8
6,3	1628	14,9	7,5
6,2	1594	14,9	7
6,1	1575	14,2	6,8
6	1605	14,4	6,5
5,9	1695	14,2	7
6	1515	14	7,6
5,8	1656	14	7,9
5,7	1400	14,2	8
5,7	1271	14,2	7,5
5,7	1473	14,4	7,9
5,7	1532	13,7	7,5
5,4	1573	13,3	8,1
5,6	1421	13,8	7,7
5,4	1478	13,1	7,8
5,4	1467	13,4	7,9
5,6	1493	13,6	7,8
5,4	1492	13,6	8,2
5,4	1522	13,4	8
5,3	1569	12,6	7,7
5,3	1563	12,9	7,7
5,4	1621	12,6	8
5,2	1425	12,4	8,4
5	1422	12,3	8,9
5,2	1339	12,5	7,9
5,2	1331	12	7,6
5,3	1397	11,1	7,6
5,2	1427	11,8	7,7
5,2	1332	11,4	7,1
5,3	1279	11,5	7,5
5,3	1410	11,9	7,9
5,4	1351	11,7	8
5,4	1251	11,6	7,2
5,4	1551	11,8	7,4
5,3	1437	11,6	8,1
5,2	1289	11,7	7,8
5,4	1248	11,8	8,2
5,4	1212	11,7	8
5,2	1177	11,6	7,9
5,5	1171	11,9	8
5,7	1115	12,2	7,5
5,9	1110	12,4	7,5
5,9	1014	12,2	7,3
6,2	1145	12,4	7,4
6,3	969	12,5	8,2
6,4	798	12,2	8,7
6,6	965	12,7	8,3
6,8	921	12,9	7,4
6,7	1001	13,5	8
6,9	996	12,9	7,7
6,9	1036	13,7	8,2
6,8	1063	13,8	7,6
6,9	1049	13,9	7,9
6,9	1015	14	8,1
7	1079	14,4	8,6
7	1103	14,8	8,4
7,3	1079	15,4	9,1
7,3	1176	16,1	8,8
7,4	1250	16,7	9,2
7,4	1297	17,1	9,2
7,4	1099	17,4	9,4
7,6	1214	17,8	9,4
7,8	1145	18,2	9,5
7,7	1139	18,1	9,1
7,6	1226	18	9,2
7,6	1186	18,1	8,2
7,3	1244	18,9	7,4
7,4	1214	17,9	7,3
7,4	1227	19	9,9
7,3	1210	18,3	8,3
7,1	1210	18,2	8,4
7	1083	17,6	8,3
7,1	1258	17,6	8,2
7,1	1260	17,5	7,7
7	1280	17,8	7,2
6,9	1254	17,7	7
6,8	1300	18	7,1
6,7	1343	18,1	6,3
6,8	1392	18,1	5,6
6,6	1376	18,6	5,6
6,5	1533	18,3	8,4
6,6	1272	18,6	6,4
6,6	1337	19	5,9
6,5	1564	19	6,2
6,4	1465	19	5,8
6,1	1526	19,5	7,1
6,1	1409	18,8	6,3
6,1	1439	19	6,4
6	1450	18,8	5,9
5,9	1474	18,7	6,2
5,8	1450	19,3	6,5
5,6	1511	18	6,4
5,5	1455	17,8	6,5
5,6	1407	17,1	6,9
5,4	1316	17	7,3
5,4	1249	17,3	7
5,8	1267	17,6	6,3
5,6	1314	17	6,5
5,6	1281	15,9	6,1
5,7	1461	16,5	6,4
5,7	1416	16,2	6,1
5,6	1369	16,2	6,1
5,5	1369	16	6,5
5,6	1452	16,4	6
5,6	1431	16,3	5,5
5,6	1467	16,1	6,1
5,5	1491	16,4	6,1
5,5	1424	17,3	6
5,6	1516	17,6	5
5,6	1504	17	6,1
5,3	1467	17,6	6,5
5,5	1472	16,7	6,1
5,1	1557	17,3	5,9
5,2	1475	16,8	6
5,2	1392	16,3	5,8
5,4	1489	15,9	5,8
5,4	1370	15,6	5,7
5,3	1355	16	5,6
5,2	1486	15,8	5,7
5,2	1457	15,5	5,8
5,1	1492	15,6	5,9
4,9	1442	15,4	6,2
5	1494	15,5	6
4,9	1437	16,4	5,5
4,8	1390	16	5,4
4,9	1546	15,9	5,6
4,7	1520	16,1	5,6
4,6	1510	15,4	5,8
4,7	1566	15,9	5,8
4,6	1525	15,6	6,7
4,6	1584	15,4	6,8
4,7	1567	14,5	6,9
4,3	1540	14,7	6,6
4,4	1536	14,7	6,3
4,5	1641	14,1	6,2
4,5	1698	14,1	6,3
4,5	1614	13,7	6,2
4,6	1582	14,4	5,8
4,5	1715	14,1	5,6
4,4	1660	14,5	5,7
4,4	1792	14	5,2
4,3	1748	13,4	5,7
4,4	1670	13,8	5,5
4,2	1710	13,4	5,2
4,3	1553	13,3	4,4
4,2	1611	13,4	4,1
4,3	1559	14,3	4
4,3	1669	13,6	3,9
4,2	1648	13,1	3,8
4,2	1635	13,1	3,3
4,1	1608	13,3	3,7
4,1	1648	12,9	4
4	1708	12,9	3,6
4	1636	13,1	4,6
4,1	1737	12,6	4
4	1604	12,7	3,7
3,8	1626	12,4	4,2
4	1575	12,6	4,1
4	1559	12,3	4,1
4	1463	13,4	4,5
4,1	1541	12,9	4,4
3,9	1507	12,2	3,7
3,9	1549	12,7	3,9
3,9	1551	12,4	3,7
3,9	1532	12,5	3,4
4,2	1600	12,7	3,9
4,2	1625	12,8	4,1
4,3	1590	12,8	4,5
4,4	1649	12,4	4,2
4,3	1605	12,1	3,6
4,5	1636	12,7	3,7
4,6	1670	12,9	4,9
4,9	1567	13,3	6,1
5	1562	13,2	6,3
5,3	1540	13,3	2,7
5,5	1602	14,3	3,4
5,7	1568	14,5	3,8
5,7	1698	14,7	5,5
5,7	1829	15	5,3
5,7	1642	15,4	5,3
5,9	1592	16,3	5,1
5,8	1764	16,8	5,6
5,8	1717	16,9	5,3
5,8	1655	16,9	4,5
5,7	1633	16,5	4,3
5,7	1804	17,6	4,9
5,7	1648	17,8	4,8
5,9	1753	17,6	4,8
6	1788	18,5	4,5
5,8	1853	18,5	4,5
5,9	1629	18,5	4,8
5,9	1726	18,1	4,7
6	1643	19,4	4,6
6,1	1751	19	5,1
6,3	1867	19,9	4,9
6,2	1897	19,7	5,5
6,1	1833	19,2	5,3
6,1	1939	19,5	4,5
6	1967	19,3	4,7
5,8	2083	19,9	4,8
5,7	2057	19,8	4,8
5,7	1911	19,9	4,5
5,6	1846	20,1	4,6
5,8	1998	19,8	4,5
5,6	2003	19,6	4,8
5,6	1981	19,8	4,7
5,6	1828	20,5	5,1
5,5	2002	18,8	4,6
5,4	2024	18,8	4,7
5,4	1905	19,4	3,9
5,5	2072	19,5	3,9
5,4	1782	19,7	3,5
5,4	2042	19,4	6,3
5,3	2144	19,5	2,9
5,4	2207	19,1	2,7
5,2	1864	19,5	2,7
5,2	2061	19,6	2,2
5,1	2025	18,6	3
5	2068	17,9	2,3
5	2054	17,6	2
4,9	2095	18,4	2,5
5	2151	17,9	2,4
5	2065	17,9	2,6
5	2147	17,5	2,8
4,9	1994	17,5	2,9
4,7	2273	16,9	3,8
4,8	2119	17,8	3,9
4,7	1969	17,1	3,8
4,7	1821	16,7	3,5
4,6	1942	17,1	3,3
4,6	1802	16,6	3,4
4,7	1737	17,1	2,9
4,7	1650	17,1	3,1
4,5	1720	17,1	3,1
4,4	1491	16,3	3,2
4,5	1570	16,2	3,3
4,4	1649	16,1	3,1
4,6	1409	16,3	3,1
4,5	1480	16,7	3,3
4,4	1495	17,8	3,6
4,5	1490	16,9	3,3
4,4	1415	16,6	3
4,6	1448	16,5	2,9
4,7	1354	17,2	2,9
4,6	1330	17	2,7
4,7	1183	16,3	2,9
4,7	1264	17	2,9
4,7	1197	17,3	2,6
5	1037	16,6	3,1
5	1084	17,5	3,5
4,9	1103	16,9	4
5,1	1005	16,5	4,1
5	1013	16,9	3,6
5,4	973	16,6	8
5,6	1046	17,1	5,6
5,8	923	17	4,5
6,1	844	17,7	3,8
6,1	820	18,6	4,5
6,5	777	19,9	5,5
6,8	652	18,9	6,4
7,3	560	19,9	6,5
7,8	490	19,8	6,4
8,3	582	20,1	5,8
8,7	505	20,9	6
9	478	21,6	6,7
9,4	540	22,4	8,1
9,5	585	23,9	6,6
9,5	594	25,1	6
